priority,issue,product_title,handle,inventory,image_count,largest_px
P1,low_res,Anthurium Bonplandii Narrow Pink Variegated,anthurium-bonplandii-narrow-pink-variegated-pre-order,20,2,332
P1,low_res,Anthurium Luxurians Aurea Variegated,anthurium-luxurians-aurea-variegated-pre-order,20,2,332
P1,low_res,Anthurium Ace of Spades,anthurium-ace-of-spades-pre-order,20,2,333
P1,low_res,Anthurium Magnificum x Crystallinum Dark Form Variegated,anthurium-magnificum-x-crystallinum-dark-form-variegated-pre-order,20,2,334
P1,low_res,Anthurium Luxurians,anthurium-luxurians-pre-order,20,2,337
P1,low_res,Anthurium Red Crystallinum × Wonderboy,anthurium-red-crystallinum-wonderboy-pre-order,20,2,344
P1,low_res,Anthurium Red Crystallinum × Michelle,anthurium-red-crystallinum-michelle-pre-order,20,2,346
P1,low_res,Alocasia Nairobi Nights Variegated A Grade,alocasia-nairobi-nights-variegated-a-grade-pre-order,20,2,347
P1,low_res,Anthurium Vittarifolium,anthurium-vittarifolium-pre-order,20,2,352
P1,low_res,Alocasia Watsoniana Glossy Aurea Variegated,alocasia-watsoniana-glossy-aurea-variegated-pre-order,20,2,356
P1,low_res,Alocasia Heterophylla Metallic Blue Aurea Variegated,alocasia-heterophylla-metallic-blue-aurea-variegated-pre-order,20,2,358
P1,low_res,Alocasia Maharani Gold Variegated,alocasia-maharani-gold-variegated-pre-order,20,2,361
P1,low_res,Anthurium Clarinervium Variegated,anthurium-clarinervium-variegated-pre-order,20,2,362
P1,low_res,Anthurium Dark Phoenix Mint Variegated,anthurium-dark-phoenix-mint-variegated-pre-order,20,2,364
P2,under_1200px,Monstera Obliqua Peru,monstera-obliqua-peru,0,4,1024
P2,under_1200px,Philodendron Florida Beauty,philodendron-florida-beauty,1,2,1024
